,domain,registrar,ns,dns_provider,mx,xmpp,dkim,dmarc,spf,autoconfig,autodiscover
20,myles.coffee,"TUCOWS, INC.",ns3.digitalocean.com. | ns1.digitalocean.com. | ns2.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC8IAqzrtDqAlB1Dx2VfMEUPFPtMqkEo8FZ/CDK1ve4X6X7VTOCOWkpAk0hXutBoN6vr7F5rdpB9v2h/X7YjRgjjK/medplJfyN3yvnyv2rrW1rGyBOGbKyCDqhHSlbRiybXlaikQaTlWUhe1kD1U7gZ9eJcm5XyrldoycxfM21lwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
21,youaretheworst.today,"TUCOWS, INC.",ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCykytkdGDEjxtKA3/8mG7mCgIEGIv6CzAlmFr9aSEQzJoWD2yNzeOTGLiT9yvKmjNFtRn7TvDq5GgfBGP9Yom5rVHFLaVGhN25UQ33FTqXWIW8EcX56os47Ir8QJUsBK30c0PhjLQ/ZmX76zP1RkQvDoELppyhWKwclKye/uYPjQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
22,edmonddantes.xyz,"TUCOWS, INC.",ns1.hover.com. | ns2.hover.com.,Digital Ocean,10 mx.hover.com.cust.hostedemail.com.,,,,,,
23,homebrewhosting.club,"TUCOWS, INC.",ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; h=sha256; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDUUDgZwq+K2Qxrnek8e1Py/YbuwsyCsWJGVGh3i+kf5fUN5M3CgTQJwMi87ujaKioccWQgned28Z4hfDzKIeJp1bf2Er+n4a5GAu4mRxzSSVjR8bfqljh2JqIE6ifVMwL/rseI28EAEg0YwCQomQF1NSq+CovBH1JmlA+7ROIr0wIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
24,kinroyal.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC5duQVg7n0r7NIdDL7YNpe2iZqV03034r6s8C/WyWSxu2ezpQAdU21MHo5M19HjU/L1kwPd0G1ggsUkVpHd4T9xbV6SuElPEwHt1Byw3qU6MoK3bed3QCqISTysO4VDd7jTSwr+Ch7tG8lY/A8RyXJxXiyukuEfTWHUQsi6eNZ4wIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
25,passthewinefuckthegovernmentiloveyou.com,"TUCOWS, INC.",ns2.digitalocean.com. | ns3.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDz6M8kSCV41DTFX9X17TMKuU+ZXpcrcwPNec11/aLd6eyw1Qsa8sb6XUQQW4r7B8XMzPjg5dF5UfkpYSTnK64Y+VBvkuYyvDsS44SXsI710w7K/LtkL5n3UVTs9BB5EJzeOAu3ZP85qvHOeTrTYa+iZXDmsKqDiZwyBfOAlVBmhQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
26,rottenbananas.ca,,ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDdSYu69IJV3v25NoYA9h8C1DHCUYJnHqavjkyEnxZJrgwS5qpRrvxEUfETTxqBRWyj3YGP+pTF2a3a8HRiS345VOoayIbDkxDrlWry6loANcYP8pICJe7TC+bM3WBqzQVK2+SOaERVlah3Ypl6JxXGDN3p/Hashv/UVp0tuyz76QIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
27,fancyasfuck.ca,,ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,0 5 5222 chimp.mylesbraithwaite.net.fancyasfuck.ca. | 0 5 5222 chimp.mylesbraithwaite.net.fancyasfuck.ca.,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDg/8xGlLAuz02L3ENkeLKHJllpjghO6oicG6S32jGjoYpK/x3PAOYBFgmmZCv7c5BDv2GbYn/ce7KGWl0WJIjn6IP9K92izTyH1MgSjayHOJWyp39Nnd4ZCQeNe6YjQ9d+Y4wBV7t6bGP0DG6Py3aqX7Y5NtjNtxG/RonzakCZ+QIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
28,impersonatefunctioninghuman.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjrkKtZRmloPVq1HzeqXwaPyEv2s0+wMJwh2wRuU4AhXUYX6IjhgKQREL2ThMQbhc6zeqDydWuRPqgs4WEJStdZYWU+iuMWmBipv8bt2KCB5eXsg4JrJf5XNxDLci4oAg9uFRtLYU5i/QeM2oB9kiKL59jME05+Dh4LwDsuO/ugQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
29,myl.be,,ns1.digitalocean.com. | ns2.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC9PKlGZfCH/5odEHaM0cJtssfPH9WmFQO96nnfbxJkJCPPO9uLFLZ5rdVEX/VuCJJoaABDt2SNhRz7hmBlOnCTdKYbPF32ozfSjvV3WuwugaCb+ZZOIYN6UDeWpMR1bfRrcEdftEPmXIJnp4SmLJfps0nKPQXmTOzkLRmZJ5qHDwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
30,myles.tk,,ns4.linode.com. | ns1.linode.com. | ns5.linode.com. | ns2.linode.com. | ns3.linode.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCjQcyw95JIKYIcJYmVTovRb8BHYK9fIaaAic9hdXdWL8HSDNQbYpEn2xZRhPJp9CxDHtCPR1gzYyFvLBouLloVbA5XVER+wh6/S0igtkvp48SvohCRbU0s1josByia/44/pNT+poGdXQ4LgRqVh7swTNJoeSWBzfLJlaHEbbEeywIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
31,braithwaite.tk,,ns1.digitalocean.com. | ns3.digitalocean.com. | ns2.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDqlEnc7LCUnC4h6o1jxS4+MjhWePT1HOpaw7D8lJGb/WxmH9oJGy05JEMp5so5TjUVM+EK8aEpAObgMlTDyBduK2DWLOUivC7cs2fJxJ0ktCKQTSYzUgRR2EtvNDaDqgfvx4TlixFUWRJBUgi8TrPgoqkNI/Sv2gW5DqtbUofZBQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
32,myles.braithwaite.ca,,ns3.linode.com. | ns1.linode.com. | ns4.linode.com. | ns2.linode.com. | ns5.linode.com.,Digital Ocean,10 ASPMX.L.GOOGLE.COM. | 20 ALT1.ASPMX.L.GOOGLE.COM. | 30 ASPMX3.GOOGLEMAIL.COM. | 20 ALT2.ASPMX.L.GOOGLE.COM. | 30 ASPMX4.GOOGLEMAIL.COM. | 30 ASPMX2.GOOGLEMAIL.COM. | 30 ASPMX5.GOOGLEMAIL.COM.,,,,,,
